accession,entry_name,protein_name,gene_name,gene_synonyms,organism,go_terms,ec_numbers,interpro,pfam
F2PWS5,NSCA_TRIEC,Non-reducing polyketide synthase nscA,nscA,,Trichophyton equinum (strain ATCC MYA-4606 / CBS 127.97) (Horse ringworm fungus),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF22621 (CurL-like_PKS_C); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF16073 (SAT)
F2T0M0,NSCA_TRIRC,Non-reducing polyketide synthase nscA,nscA,,Trichophyton rubrum (strain ATCC MYA-4607 / CBS 118892) (Athlete's foot fungus),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF22621 (CurL-like_PKS_C); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF16073 (SAT)
F2S6Z9,NSCA_TRIT1,Non-reducing polyketide synthase nscA,nscA,,Trichophyton tonsurans (strain CBS 112818) (Scalp ringworm fungus),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF22621 (CurL-like_PKS_C); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF16073 (SAT)
D4CZZ2,NSCA_TRIVH,Non-reducing polyketide synthase nscA,nscA,,Trichophyton verrucosum (strain HKI 0517),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF22621 (CurL-like_PKS_C); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF16073 (SAT)
A0A2I1C3Z1,NSRI_ASPN1,Scytalone dehydratase-like protein nsrI,nsrI,,Aspergillus novofumigatus (strain IBT 16806),GO:0030411 (F:scytalone dehydratase activity); GO:0006582 (P:melanin metabolic process),4.2.1,IPR032710 (NTF2-like_dom_sf); IPR004235 (Scytalone_dehydratase); IPR049884 (Scytalone_dh),PF02982 (Scytalone_dh)
A0A455LXK0,NTNG_NECSZ,Non-reducing polyketide synthase ntnG,ntnG,,Nectria sp,GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process); GO:0016114 (P:terpenoid biosynthetic process),2.3.1,IPR029058 (AB_hydrolase_fold); IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR001031 (Thioesterase); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF22621 (CurL-like_PKS_C); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF16073 (SAT); PF00975 (Thioesterase)
A0A455M2Y3,NTNH_NECSZ,Highly reducing polyketide synthase ntnH,ntnH,,Nectria sp,GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0032259 (P:methylation); GO:0044550 (P:secondary metabolite biosynthetic process); GO:0016114 (P:terpenoid biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013149 (ADH-like_C); IPR013154 (ADH-like_N); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF00107 (ADH_zinc_N); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF21089 (PKS_DH_N); PF14765 (PS-DH)
A0A2I1BSV9,NVFA_ASPN1,Non-reducing polyketide synthase nvfA,nvfA,,Aspergillus novofumigatus (strain IBT 16806),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0016218 (F:polyketide synthase activity); GO:0006633 (P:fatty acid biosynthetic process); GO:0032259 (P:methylation); GO:0140782 (P:novofumigatonin biosynthetic process),2.3.1,IPR029058 (AB_hydrolase_fold); IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR049492 (BD-FAE-like_dom); IPR041068 (HTH_51); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049552 (PKS_DH_N); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR029063 (SAM-dependent_MTases_sf); IPR032088 (SAT); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF20434 (BD-FAE); PF18558 (HTH_51); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08242 (Methyltransf_12); PF21089 (PKS_DH_N); PF00550 (PP-binding); PF16073 (SAT)
P83689,OCP_LIMMA,Orange carotenoid-binding protein / Red carotenoid-binding protein,,,Limnospira maxima (Arthrospira maxima),GO:0030089 (C:phycobilisome); GO:0031676 (C:plasma membrane-derived thylakoid membrane); GO:0031404 (F:chloride ion binding); GO:0009881 (F:photoreceptor activity); GO:0016037 (P:light absorption),,IPR032710 (NTF2-like_dom_sf); IPR002075 (NTF2_dom); IPR015233 (Orange_carotenoid-bd_N); IPR036917 (Orange_carotenoid-bd_N_sf),PF09150 (Carot_N); PF02136 (NTF2)
P74102,OCP_SYNY3,Orange carotenoid-binding protein / Red carotenoid-binding protein,,,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),GO:0030089 (C:phycobilisome); GO:0031676 (C:plasma membrane-derived thylakoid membrane); GO:0031404 (F:chloride ion binding); GO:0009881 (F:photoreceptor activity); GO:0016037 (P:light absorption),,IPR032710 (NTF2-like_dom_sf); IPR002075 (NTF2_dom); IPR015233 (Orange_carotenoid-bd_N); IPR036917 (Orange_carotenoid-bd_N_sf),PF09150 (Carot_N); PF02136 (NTF2)
Q07017,OL56_STRAT,Probable oleandomycin polyketide synthase,orfB,,Streptomyces antibioticus,GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0033068 (P:macrolide biosynthetic process),,IPR029058 (AB_hydrolase_fold); IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR036291 (NAD(P)-bd_dom_sf); IPR015083 (NorB/c/GfsB-D-like_docking); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR041618 (PKS_DE); IPR013968 (PKS_KR); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR036299 (Polyketide_synth_docking_sf); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR020802 (TesA-like); IPR001031 (Thioesterase); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF08990 (Docking); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF18369 (PKS_DE); PF00550 (PP-binding); PF00975 (Thioesterase)
P9WEQ0,OLCA_PENCN,Non-reducing polyketide synthase olcA,olcA,,Penicillium canescens,GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:1901336 (P:lactone biosynthetic process); GO:0032259 (P:methylation); GO:0030639 (P:polyketide biosynthetic process); GO:0016114 (P:terpenoid biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF21089 (PKS_DH_N); PF00550 (PP-binding); PF14765 (PS-DH)
Q5AUW8,ORSC_EMENI,Tyrosinase-like protein orsC,orsC,,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),GO:0046872 (F:metal ion binding); GO:0004497 (F:monooxygenase activity),1.14,IPR008922 (Di-copper_centre_dom_sf); IPR050316 (Tyrosinase/Hemocyanin); IPR002227 (Tyrosinase_Cu-bd),PF00264 (Tyrosinase)
A0A1R3RGK0,OTAA_ASPC5,Highly reducing polyketide synthase otaA,otaA,OTApks,Aspergillus carbonarius (strain ITEM 5010),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0016218 (F:polyketide synthase activity); GO:0006633 (P:fatty acid biosynthetic process); GO:0032259 (P:methylation); GO:1900818 (P:ochratoxin A biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF21089 (PKS_DH_N); PF14765 (PS-DH)
A2R6H1,OTAA_ASPNC,Highly reducing polyketide synthase otaA,otaA,ota1,Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0003824 (F:catalytic activity); GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0032259 (P:methylation); GO:1900818 (P:ochratoxin A biosynthetic process); GO:0019748 (P:secondary metabolic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF21089 (PKS_DH_N); PF14765 (PS-DH)
Q0GBZ5,OX1R_BOVIN,Orexin/Hypocretin receptor type 1,HCRTR1,,Bos taurus (Bovine),GO:0005886 (C:plasma membrane); GO:0004930 (F:G protein-coupled receptor activity); GO:0016499 (F:orexin receptor activity); GO:0032870 (P:cellular response to hormone stimulus); GO:0007631 (P:feeding behavior); GO:0007218 (P:neuropeptide signaling pathway); GO:0007200 (P:phospholipase C-activating G protein-coupled receptor signaling pathway); GO:0051480 (P:regulation of cytosolic calcium ion concentration),,IPR000276 (GPCR_Rhodpsn); IPR017452 (GPCR_Rhodpsn_7TM); IPR000204 (Orexin_rcpt); IPR004059 (OX1R),PF00001 (7tm_1)
O43613,OX1R_HUMAN,Orexin/Hypocretin receptor type 1,HCRTR1,ORXR1,Homo sapiens (Human),GO:0005886 (C:plasma membrane); GO:0045202 (C:synapse); GO:0004930 (F:G protein-coupled receptor activity); GO:0016499 (F:orexin receptor activity); GO:0017046 (F:peptide hormone binding); GO:0032870 (P:cellular response to hormone stimulus); GO:0007268 (P:chemical synaptic transmission); GO:0007631 (P:feeding behavior); GO:0007218 (P:neuropeptide signaling pathway); GO:0007200 (P:phospholipase C-activating G protein-coupled receptor signaling pathway); GO:0051480 (P:regulation of cytosolic calcium ion concentration),,IPR000276 (GPCR_Rhodpsn); IPR017452 (GPCR_Rhodpsn_7TM); IPR000204 (Orexin_rcpt); IPR004059 (OX1R),PF00001 (7tm_1)
P58307,OX1R_MOUSE,Orexin/Hypocretin receptor type 1,Hcrtr1,,Mus musculus (Mouse),GO:0005886 (C:plasma membrane); GO:0004930 (F:G protein-coupled receptor activity); GO:0016499 (F:orexin receptor activity); GO:0017046 (F:peptide hormone binding); GO:0032870 (P:cellular response to hormone stimulus); GO:0007631 (P:feeding behavior); GO:0007186 (P:G protein-coupled receptor signaling pathway); GO:0007218 (P:neuropeptide signaling pathway); GO:0007200 (P:phospholipase C-activating G protein-coupled receptor signaling pathway); GO:0070374 (P:positive regulation of ERK1 and ERK2 cascade); GO:0051480 (P:regulation of cytosolic calcium ion concentration),,IPR000276 (GPCR_Rhodpsn); IPR017452 (GPCR_Rhodpsn_7TM); IPR000204 (Orexin_rcpt); IPR004059 (OX1R),PF00001 (7tm_1)
O97661,OX1R_PIG,Orexin/Hypocretin receptor type 1,HCRTR1,,Sus scrofa (Pig),GO:0005886 (C:plasma membrane); GO:0004930 (F:G protein-coupled receptor activity); GO:0016499 (F:orexin receptor activity); GO:0032870 (P:cellular response to hormone stimulus); GO:0007631 (P:feeding behavior); GO:0007218 (P:neuropeptide signaling pathway); GO:0051480 (P:regulation of cytosolic calcium ion concentration),,IPR000276 (GPCR_Rhodpsn); IPR017452 (GPCR_Rhodpsn_7TM); IPR000204 (Orexin_rcpt); IPR004059 (OX1R),PF00001 (7tm_1)
P56718,OX1R_RAT,Orexin/Hypocretin receptor type 1,Hcrtr1,,Rattus norvegicus (Rat),GO:0005886 (C:plasma membrane); GO:0004930 (F:G protein-coupled receptor activity); GO:0016499 (F:orexin receptor activity); GO:0017046 (F:peptide hormone binding); GO:0032870 (P:cellular response to hormone stimulus); GO:0007631 (P:feeding behavior); GO:0007186 (P:G protein-coupled receptor signaling pathway); GO:0007218 (P:neuropeptide signaling pathway); GO:0007200 (P:phospholipase C-activating G protein-coupled receptor signaling pathway); GO:0070374 (P:positive regulation of ERK1 and ERK2 cascade); GO:0051480 (P:regulation of cytosolic calcium ion concentration),,IPR000276 (GPCR_Rhodpsn); IPR017452 (GPCR_Rhodpsn_7TM); IPR000204 (Orexin_rcpt); IPR004059 (OX1R),PF00001 (7tm_1)
Q9TUP7,OX2R_CANLF,Orexin receptor type 2,HCRTR2,,Canis lupus familiaris (Dog) (Canis familiaris),"GO:0005886 (C:plasma membrane); GO:0016499 (F:orexin receptor activity); GO:0032870 (P:cellular response to hormone stimulus); GO:0022410 (P:circadian sleep/wake cycle process); GO:0007631 (P:feeding behavior); GO:0042593 (P:glucose homeostasis); GO:0040011 (P:locomotion); GO:0007218 (P:neuropeptide signaling pathway); GO:0010840 (P:regulation of circadian sleep/wake cycle, wakefulness); GO:0051480 (P:regulation of cytosolic calcium ion concentration)",,IPR000276 (GPCR_Rhodpsn); IPR017452 (GPCR_Rhodpsn_7TM); IPR000204 (Orexin_rcpt); IPR004060 (Orexin_rcpt_2),PF00001 (7tm_1); PF03827 (Orexin_rec2)
O43614,OX2R_HUMAN,Orexin receptor type 2,HCRTR2,"ORXR2, OX2R, OXR2",Homo sapiens (Human),"GO:0005886 (C:plasma membrane); GO:0045202 (C:synapse); GO:0008188 (F:neuropeptide receptor activity); GO:0016499 (F:orexin receptor activity); GO:0017046 (F:peptide hormone binding); GO:0032870 (P:cellular response to hormone stimulus); GO:0007268 (P:chemical synaptic transmission); GO:0022410 (P:circadian sleep/wake cycle process); GO:0007631 (P:feeding behavior); GO:0042593 (P:glucose homeostasis); GO:0040011 (P:locomotion); GO:0007218 (P:neuropeptide signaling pathway); GO:0010840 (P:regulation of circadian sleep/wake cycle, wakefulness); GO:0051480 (P:regulation of cytosolic calcium ion concentration)",,IPR000276 (GPCR_Rhodpsn); IPR017452 (GPCR_Rhodpsn_7TM); IPR000204 (Orexin_rcpt); IPR004060 (Orexin_rcpt_2),PF00001 (7tm_1); PF03827 (Orexin_rec2)
P58308,OX2R_MOUSE,Orexin receptor type 2,Hcrtr2,Mox2r,Mus musculus (Mouse),"GO:0005654 (C:nucleoplasm); GO:0005886 (C:plasma membrane); GO:0004930 (F:G protein-coupled receptor activity); GO:0016499 (F:orexin receptor activity); GO:0017046 (F:peptide hormone binding); GO:0032870 (P:cellular response to hormone stimulus); GO:0022410 (P:circadian sleep/wake cycle process); GO:0007631 (P:feeding behavior); GO:0007186 (P:G protein-coupled receptor signaling pathway); GO:0042593 (P:glucose homeostasis); GO:0040011 (P:locomotion); GO:0007218 (P:neuropeptide signaling pathway); GO:0007200 (P:phospholipase C-activating G protein-coupled receptor signaling pathway); GO:0010840 (P:regulation of circadian sleep/wake cycle, wakefulness); GO:0051480 (P:regulation of cytosolic calcium ion concentration)",,IPR000276 (GPCR_Rhodpsn); IPR017452 (GPCR_Rhodpsn_7TM); IPR000204 (Orexin_rcpt); IPR004060 (Orexin_rcpt_2),PF00001 (7tm_1); PF03827 (Orexin_rec2)
O62809,OX2R_PIG,Orexin receptor type 2,HCRTR2,,Sus scrofa (Pig),"GO:0005886 (C:plasma membrane); GO:0016499 (F:orexin receptor activity); GO:0032870 (P:cellular response to hormone stimulus); GO:0022410 (P:circadian sleep/wake cycle process); GO:0007631 (P:feeding behavior); GO:0042593 (P:glucose homeostasis); GO:0040011 (P:locomotion); GO:0007218 (P:neuropeptide signaling pathway); GO:0010840 (P:regulation of circadian sleep/wake cycle, wakefulness); GO:0051480 (P:regulation of cytosolic calcium ion concentration)",,IPR000276 (GPCR_Rhodpsn); IPR017452 (GPCR_Rhodpsn_7TM); IPR000204 (Orexin_rcpt); IPR004060 (Orexin_rcpt_2),PF00001 (7tm_1); PF03827 (Orexin_rec2)
P56719,OX2R_RAT,Orexin receptor type 2,Hcrtr2,,Rattus norvegicus (Rat),"GO:0005886 (C:plasma membrane); GO:0004930 (F:G protein-coupled receptor activity); GO:0016499 (F:orexin receptor activity); GO:0017046 (F:peptide hormone binding); GO:0032870 (P:cellular response to hormone stimulus); GO:0022410 (P:circadian sleep/wake cycle process); GO:0007631 (P:feeding behavior); GO:0007186 (P:G protein-coupled receptor signaling pathway); GO:0042593 (P:glucose homeostasis); GO:0040011 (P:locomotion); GO:0007218 (P:neuropeptide signaling pathway); GO:0007200 (P:phospholipase C-activating G protein-coupled receptor signaling pathway); GO:0010840 (P:regulation of circadian sleep/wake cycle, wakefulness); GO:0051480 (P:regulation of cytosolic calcium ion concentration)",,IPR000276 (GPCR_Rhodpsn); IPR017452 (GPCR_Rhodpsn_7TM); IPR000204 (Orexin_rcpt); IPR004060 (Orexin_rcpt_2),PF00001 (7tm_1); PF03827 (Orexin_rec2)
